#Frame No	IDIAP	Vibe
432	0.383832	0.002063
433	0.381167	0.002574
434	0.415598	0.003073
435	0.398906	0.002344
436	0.398317	0.002359
437	0.394846	0.002937
438	0.397235	0.002053
439	0.410060	0.002463
440	0.392826	0.002315
441	0.404380	0.002103
442	0.401003	0.002465
443	0.401410	0.002317
444	0.394237	0.002320
445	0.409619	0.002377
446	0.397918	0.003058
447	0.411041	0.002123
448	0.424138	0.002275
449	0.420395	0.002629
450	0.403303	0.002305
451	0.386159	0.001966
452	0.384242	0.003166
453	0.381637	0.002340
454	0.390817	0.002333
455	0.387242	0.002447
456	0.387990	0.002066
457	0.398847	0.002505
458	0.394651	0.002328
459	0.413415	0.002357
460	0.415790	0.002367
461	0.406252	0.002734
462	0.400083	0.002120
463	0.413657	0.002526
464	0.395419	0.002670
465	0.394862	0.002385
466	0.390504	0.002540
467	0.397300	0.002422
468	0.410340	0.002563
469	0.397499	0.002103
470	0.398738	0.002771
471	0.402594	0.002356
472	0.390504	0.002586
473	0.385328	0.002325
474	0.402822	0.002167
475	0.389748	0.002438
476	0.394985	0.002664
477	0.391415	0.002360
478	0.388945	0.002337
479	0.387401	0.002420
480	0.396749	0.002384
481	0.398024	0.002936
482	0.395634	0.002376
483	0.398266	0.002368
484	0.405403	0.002887
485	0.414256	0.001927
486	0.390934	0.002361
487	0.408846	0.002351
488	0.422208	0.002267
489	0.402317	0.002442
490	0.387647	0.001888
491	0.389243	0.002406
492	0.386784	0.002304
493	0.395005	0.002668
494	0.392633	0.002207
495	0.387678	0.002870
496	0.385876	0.002417
497	0.398143	0.002425
498	0.387018	0.002231
499	0.384724	0.002439
500	0.378936	0.002369
501	0.380002	0.002389
502	0.394966	0.002607
503	0.387983	0.002258
504	0.387212	0.002512
505	0.385267	0.002269
506	0.388060	0.002341
507	0.387943	0.002091
508	0.383396	0.003082
509	0.392304	0.001868
510	0.384491	0.002563
511	0.393322	0.002327
512	0.394834	0.002315
513	0.386391	0.002122
514	0.397968	0.002589
515	0.385616	0.002762
516	0.393113	0.002191
517	0.385458	0.002364
518	0.393648	0.002580
519	0.379122	0.002325
520	0.395022	0.002282
521	0.388120	0.002559
522	0.391178	0.002417
523	0.389424	0.002387
524	0.391683	0.002377
525	0.389108	0.003062
526	0.386212	0.002442
527	0.396883	0.003172
528	0.379022	0.002199
529	0.381844	0.002521
530	0.382530	0.002704
531	0.383951	0.002510
532	0.386141	0.002366
533	0.386243	0.003256
534	0.389348	0.002518
535	0.387997	0.002355
536	0.382458	0.002792
537	0.389460	0.002410
538	0.382223	0.002339
539	0.383476	0.002946
540	0.393264	0.002406
541	0.377661	0.002761
542	0.386591	0.002416
543	0.384117	0.002371
544	0.415618	0.002527
545	0.404039	0.002807
546	0.417662	0.002621
547	0.393275	0.002500
548	0.407330	0.003453
549	0.388415	0.002475
550	0.419717	0.002665
551	0.426705	0.002631
552	0.393980	0.002993
553	0.390903	0.003542
554	0.381224	0.002719
555	0.388530	0.002661
556	0.390077	0.002168
557	0.391478	0.003107
558	0.386385	0.002641
559	0.392202	0.002357
560	0.393027	0.002293
561	0.401379	0.002598
562	0.385880	0.002626
563	0.385054	0.002988
564	0.393905	0.002572
565	0.384390	0.002540
566	0.418004	0.003295
567	0.386789	0.002544
568	0.390554	0.002575
569	0.410884	0.002543
570	0.394204	0.002520
571	0.380489	0.002653
572	0.381194	0.002454
573	0.400573	0.003176
574	0.421166	0.002588
575	0.388529	0.002630
576	0.385468	0.002636
