#Frame No	IDIAP	Vibe
361	4.035741	0.235499
362	4.039253	0.240979
363	4.030400	0.240430
364	4.044599	0.228025
365	4.034331	0.228897
366	4.042233	0.235927
367	4.032994	0.256610
368	4.036356	0.249321
369	4.030807	0.233868
370	4.033810	0.245725
371	4.036127	0.226810
372	4.039932	0.239982
373	4.042034	0.232831
374	4.039109	0.245465
375	4.041502	0.238085
376	4.041359	0.233862
377	4.026454	0.230631
378	4.036507	0.233365
379	4.029351	0.235411
380	4.036944	0.237346
381	3.933753	0.235937
382	3.940538	0.250881
383	3.941445	0.240793
384	3.944734	0.233941
385	3.934997	0.238162
386	3.942556	0.237799
387	3.928652	0.228981
388	3.954168	0.239345
389	3.935429	0.245678
390	4.045809	0.235954
391	3.939085	0.237922
392	3.946657	0.238292
393	3.935542	0.237894
394	3.946011	0.238270
395	3.938217	0.239260
396	3.940983	0.237828
397	3.931781	0.234762
398	3.943071	0.245262
399	3.932638	0.243795
400	3.939514	0.237825
401	3.932446	0.245909
402	3.933045	0.249515
403	3.942560	0.239861
404	3.944464	0.252991
405	3.927252	0.258250
406	3.941374	0.243540
407	3.936163	0.237176
408	3.939551	0.235867
409	3.931103	0.236590
410	3.939184	0.228688
411	3.943984	0.229193
412	3.943220	0.238559
413	3.939243	0.242966
414	3.943960	0.234341
415	3.931721	0.237409
416	3.938848	0.240340
417	3.932769	0.239154
418	3.947593	0.252331
419	3.936271	0.242358
420	3.947209	0.238026
421	3.934775	0.240903
422	4.047202	0.237011
423	3.933896	0.239790
424	3.943325	0.244372
425	3.932673	0.234394
426	3.934050	0.238088
427	3.931829	0.234650
428	3.935723	0.226912
429	3.930630	0.245578
430	3.941173	0.232021
431	3.934209	0.251005
432	3.932121	0.258737
433	3.939996	0.241321
434	3.945892	0.240037
435	3.929136	0.227306
436	3.943482	0.234040
437	3.931399	0.253928
438	3.933601	0.228002
439	3.936491	0.239639
440	3.935908	0.244796
441	3.936914	0.230172
442	3.935627	0.247432
443	4.038673	0.238698
444	3.941275	0.245929
445	3.930128	0.254823
446	3.941037	0.234733
447	3.932278	0.234976
448	3.947846	0.233966
449	3.940562	0.237258
450	3.928114	0.247104
451	3.941290	0.243546
452	3.936488	0.249673
453	3.940761	0.239310
454	3.937010	0.239769
455	3.941199	0.237769
456	3.928893	0.246980
457	3.943656	0.250063
458	3.932970	0.238710
459	3.934871	0.226349
460	3.933017	0.231399
461	3.938184	0.251446
462	3.931909	0.246747
463	3.954013	0.241928
464	3.931078	0.234127
465	3.939390	0.247102
466	3.936241	0.243222
467	3.942400	0.261932
468	3.927717	0.262111
469	3.941394	0.252200
470	3.935272	0.302590
471	3.940131	0.354775
472	3.934970	0.374891
473	3.944529	0.309644
474	3.942798	0.290071
475	3.942437	0.297460
476	3.945354	0.363912
477	3.931975	0.366258
478	3.944878	0.358536
479	3.936842	0.353994
480	3.932936	0.356570
481	3.944019	0.363015
482	3.931971	0.360593
483	3.943119	0.361803
484	3.934463	0.377335
485	3.934373	0.365966
486	3.935329	0.345307
487	3.950423	0.355658
488	3.930746	0.397020
489	3.944094	0.384208
490	3.939498	0.367720
491	3.941415	0.372319
492	3.939343	0.382257
493	3.953743	0.395067
494	3.928298	0.380601
495	3.942422	0.398891
496	3.932632	0.383388
497	3.931442	0.244541
498	3.930112	0.389693
499	3.940614	0.345828
500	3.924634	0.362861
501	3.939649	0.374918
502	3.928548	0.382201
503	3.939618	0.380673
504	3.928742	0.395564
505	3.946947	0.357827
506	3.935631	0.403279
507	3.941411	0.372347
508	3.944362	0.365028
509	3.936517	0.421209
510	3.928137	0.366506
511	3.936099	0.370687
512	3.924367	0.386779
513	3.940414	0.303042
514	3.935238	0.250072
515	3.936283	0.254556
516	3.935288	0.248346
517	3.938966	0.262537
518	3.934361	0.251544
519	3.937374	0.245752
520	3.931476	0.255457
521	3.932669	0.252769
522	3.929547	0.258630
523	3.958376	0.252772
524	3.929443	0.246266
525	3.941248	0.251642
526	3.935723	0.245729
527	3.936894	0.253902
528	3.933336	0.252608
529	3.937389	0.254447
530	3.931282	0.262755
531	3.935696	0.247664
532	3.929699	0.260444
533	3.940690	0.260041
534	3.933233	0.261007
535	3.940452	0.253287
536	3.938996	0.253619
537	3.942401	0.246832
538	3.940368	0.258659
539	3.940999	0.253994
540	3.935348	0.257046
541	3.943781	0.252824
542	3.926682	0.248391
543	3.957044	0.261294
544	3.936473	0.245821
545	3.937269	0.253472
546	3.935078	0.259116
547	3.940423	0.263858
548	3.932111	0.256371
549	3.940689	0.251871
550	3.938721	0.252629
551	3.937793	0.247615
552	3.936568	0.259032
553	3.961449	0.254160
554	3.936363	0.268262
555	3.945923	0.246526
556	3.932218	0.259497
557	3.942711	0.259544
558	3.938120	0.252194
559	3.943916	0.255831
560	3.928795	0.255161
561	3.943191	0.255562
562	3.934943	0.261724
563	3.940686	0.258359
564	3.934023	0.245340
565	3.937455	0.258459
566	3.934632	0.254045
567	3.937639	0.254834
568	4.026819	0.261166
569	3.938703	0.259219
570	3.935165	0.259102
571	3.938611	0.260013
572	3.931637	0.247173
573	3.958242	0.266507
574	3.936452	0.257401
575	3.938551	0.265398
576	3.932268	0.257701
577	3.937992	0.264854
578	3.931028	0.255661
579	3.937121	0.266088
580	3.933773	0.248475
581	3.933954	0.252206
582	3.931677	0.258877
583	3.951618	0.263015
584	3.931367	0.252412
585	3.935455	0.266604
586	3.933460	0.254554
587	3.932552	0.258316
588	3.948365	0.257624
589	3.937696	0.259274
590	3.927033	0.259328
591	3.937819	0.258091
592	3.930593	0.271885
593	3.939011	0.266824
594	3.933806	0.266687
595	3.934890	0.258972
596	3.933496	0.286676
597	3.938789	0.251111
598	3.941844	0.254101
599	3.932307	0.255450
600	3.933639	0.260734
601	3.936891	0.256861
602	3.926176	0.264294
603	3.943732	0.253725
604	3.928706	0.254572
605	3.934909	0.261940
606	3.937575	0.256285
607	3.937901	0.264090
608	3.933467	0.257125
609	3.944099	0.252886
610	3.927955	0.252125
611	3.944187	0.257010
612	3.936138	0.244768
613	3.949941	0.250908
614	3.941286	0.268915
615	3.938380	0.261420
616	3.936185	0.252151
617	3.940729	0.260435
618	3.934850	0.259335
619	3.938671	0.248536
620	3.938429	0.260791
621	3.946369	0.256577
622	3.934292	0.245725
623	3.945803	0.256822
624	3.949707	0.253201
625	3.940478	0.248105
626	3.940423	0.252810
627	3.945243	0.249680
628	3.944199	0.247909
629	3.943913	0.260666
630	3.937383	0.257119
631	3.942833	0.257604
632	3.939221	0.260862
633	3.954182	0.246305
634	3.931916	0.243803
635	3.940491	0.242619
636	3.940077	0.265343
637	3.943006	0.253719
638	3.933851	0.257280
639	3.944434	0.260228
640	3.933908	0.265825
641	3.942630	0.261533
642	3.934322	0.255782
643	4.177454	0.253962
644	3.936051	0.247081
645	3.941601	0.262997
646	3.936730	0.262305
647	3.941014	0.257709
648	3.933859	0.258925
649	3.945851	0.247297
650	3.936191	0.249977
651	3.946059	0.262747
652	3.939451	0.246901
653	3.943688	0.249727
654	3.937561	0.253548
655	3.947066	0.252044
656	3.938666	0.244711
657	3.947123	0.272946
658	3.952183	0.258944
659	3.938650	0.253361
660	3.938099	0.256971
661	3.944854	0.248657
662	3.933279	0.254313
663	3.939192	0.255018
664	3.938022	0.238730
665	3.939842	0.260483
666	3.933494	0.261402
667	3.939345	0.247320
668	3.942413	0.248217
669	3.944313	0.249588
670	3.936836	0.245605
671	3.938658	0.242715
672	3.935220	0.253127
673	3.953063	0.246538
674	3.930968	0.254439
675	3.945221	0.239086
676	3.937559	0.242356
677	3.936147	0.241414
678	3.938763	0.237713
679	3.937104	0.227423
680	3.933254	0.240822
681	3.945418	0.253808
682	3.938107	0.226877
683	3.939953	0.234416
684	3.935661	0.233779
685	3.948865	0.239817
686	3.940016	0.243398
687	3.952893	0.244925
688	4.049867	0.237726
689	3.936742	0.252079
690	3.938090	0.240569
691	3.944331	0.240317
692	3.931583	0.238686
693	3.942548	0.249413
694	3.935314	0.244437
695	3.949096	0.250970
696	3.936271	0.249297
697	3.941515	0.238520
698	3.930324	0.241962
699	3.946697	0.254979
700	3.938432	0.237560
701	3.937913	0.246272
702	3.941514	0.240013
703	3.950827	0.248038
704	3.936730	0.242325
705	3.956101	0.242250
